iter	RMSE
0	7.298963189
1	7.117255703
2	6.953336772
3	6.805742523
4	6.673749173
5	6.554118025
6	6.443728428
7	6.343629083
8	6.250495463
9	6.163787883
10	6.085718723
11	6.012691697
12	5.946820116
13	5.884843635
14	5.828893192
15	5.774485747
16	5.717177977
17	5.670925496
18	5.62752889
19	5.583265015
20	5.545405866
21	5.506059663
22	5.467988001
23	5.431733686
24	5.401847167
25	5.367020698
26	5.335161573
27	5.308345086
28	5.282070281
29	5.258523144
30	5.231821483
31	5.207464908
32	5.186970435
33	5.166334225
34	5.145792272
35	5.126256205
36	5.107335811
37	5.092645143
38	5.07522715
39	5.055922222
40	5.037822686
41	5.02387748
42	5.007848365
43	4.993168645
44	4.97774026
45	4.964608769
46	4.951015485
47	4.939156393
48	4.927237784
49	4.918916053
50	4.906452797
51	4.895261465
52	4.886190565
53	4.876963464
54	4.868504528
55	4.859702194
56	4.851931231
57	4.843866452
58	4.834249906
59	4.825152535
60	4.8165253
61	4.809765108
62	4.80170821
63	4.795342669
64	4.787297705
65	4.780569358
66	4.774995961
67	4.767118656
68	4.757521936
69	4.751568268
70	4.745516192
71	4.741150069
72	4.734516113
73	4.72898484
74	4.722593756
75	4.714208144
76	4.706841363
77	4.697397445
78	4.687347859
79	4.680864758
80	4.671679161
81	4.664053801
82	4.659226731
83	4.65173664
84	4.645419873
85	4.640180605
86	4.63467317
87	4.628144016
88	4.624027812
89	4.617870611
90	4.611819175
91	4.607544495
92	4.603510176
93	4.598665717
94	4.593669212
95	4.589369392
96	4.584797284
97	4.579471804
98	4.57463643
99	4.569944867
100	4.566404994
101	4.562130927
102	4.557981015
103	4.55293547
104	4.54852099
105	4.544177269
106	4.540427524
107	4.53623942
108	4.532672243
109	4.527851096
110	4.523970249
111	4.519850991
112	4.515323048
113	4.511402494
114	4.507514851
115	4.504930823
116	4.502062542
117	4.498219617
118	4.494550515
119	4.491657603
120	4.488998524
121	4.485929148
122	4.481492845
123	4.477349656
124	4.474917739
125	4.4704737
126	4.468108009
127	4.465041667
128	4.462008799
129	4.459315955
130	4.456280115
131	4.454126709
132	4.451762397
133	4.449340208
134	4.44620116
135	4.443583226
136	4.440859461
137	4.437842052
138	4.435496129
139	4.432238897
140	4.429374821
141	4.427208057
142	4.424902832
143	4.421637187
144	4.418670692
145	4.416730969
146	4.414691825
147	4.41276772
148	4.410661511
149	4.408790669
150	4.406395748
151	4.404040877
152	4.402194673
153	4.398575101
154	4.396092936
155	4.393257603
156	4.391157842
157	4.389245138
158	4.38604871
159	4.384316432
160	4.381133291
161	4.378594915
162	4.375700981
163	4.372713343
164	4.370777557
165	4.369378914
166	4.367141685
167	4.364890021
168	4.362494074
169	4.360687437
170	4.35817995
171	4.35620847
172	4.353639446
173	4.351352163
174	4.348793581
175	4.347251559
176	4.345588604
177	4.342710979
178	4.340792668
179	4.339436107
180	4.337557569
181	4.335166408
182	4.333699792
183	4.331442994
184	4.330167144
185	4.327953027
186	4.325763282
187	4.323742008
188	4.322130123
189	4.320111238
190	4.317881526
191	4.315978953
192	4.314327418
193	4.312876398
194	4.310982591
195	4.308761941
196	4.307302511
197	4.305251033
198	4.302681163
199	4.300825019
200	4.299072501
201	4.297182277
202	4.295856997
203	4.294007636
204	4.292454431
205	4.290695474
206	4.289533458
207	4.287357257
208	4.285818121
209	4.284389405
210	4.282572068
211	4.281173388
212	4.279291616
213	4.277656131
214	4.275642646
215	4.274247086
216	4.272859039
217	4.271256301
218	4.269574444
219	4.268163323
220	4.266827679
221	4.264726432
222	4.263608222
223	4.262170756
224	4.260939327
225	4.258449595
226	4.257129986
227	4.255920992
228	4.254718028
229	4.253588778
230	4.252214948
231	4.250894126
232	4.249024944
233	4.247747911
234	4.246349507
235	4.244948864
236	4.243620153
237	4.242186608
238	4.240875604
239	4.239089064
240	4.23742336
241	4.235240266
242	4.233688553
243	4.232490205
244	4.231152674
245	4.22984094
246	4.228412189
247	4.226494702
248	4.224712852
249	4.223154922
250	4.221891969
251	4.220429293
252	4.219305183
253	4.217998442
254	4.216633179
255	4.215322586
256	4.214350526
257	4.213232024
258	4.211818989
259	4.210528432
260	4.209159157
261	4.2078335
262	4.206743266
263	4.205712044
264	4.204432126
265	4.203569399
266	4.202479859
267	4.200803584
268	4.199327402
269	4.198508611
270	4.197248719
271	4.19604191
272	4.19460666
273	4.193394753
274	4.192232413
275	4.190965354
276	4.189745211
277	4.188382986
278	4.187266382
279	4.185600458
280	4.184438898
281	4.182891253
282	4.181752699
283	4.180369928
284	4.179261716
285	4.178165462
286	4.176819383
287	4.175510745
288	4.174553292
289	4.173489903
290	4.172546063
291	4.171560616
292	4.170673167
293	4.169174222
294	4.168352082
295	4.1674564
296	4.166483506
297	4.165350249
298	4.164118227
299	4.163092646
300	4.161989751
301	4.160901382
302	4.159265117
303	4.157937619
304	4.156889367
305	4.155800347
306	4.154657187
307	4.152988937
308	4.151668262
309	4.150499313
310	4.149454728
311	4.148366602
312	4.147313088
313	4.146407274
314	4.145536479
315	4.144372766
316	4.143485262
317	4.142667069
318	4.141454396
319	4.140454122
320	4.139477745
321	4.138459048
322	4.137195031
323	4.136379545
324	4.135377365
325	4.134567665
326	4.133691638
327	4.132466187
328	4.131659477
329	4.130660439
330	4.129699536
331	4.128337753
332	4.127110075
333	4.125894102
334	4.125144621
335	4.124231503
336	4.123371407
337	4.122675752
338	4.121545452
339	4.120417923
340	4.119165016
341	4.118114885
342	4.117316561
343	4.116412704
344	4.115548678
345	4.114619748
346	4.113738345
347	4.112611732
348	4.111906229
349	4.111153824
350	4.110153387
351	4.108909541
352	4.107967293
353	4.106943537
354	4.106267976
355	4.105283439
356	4.104144756
357	4.103312373
358	4.102412464
359	4.101369973
360	4.10013336
361	4.099432153
362	4.098397185
363	4.097061452
364	4.095899252
365	4.094869195
366	4.093753951
367	4.093152896
368	4.092380133
