iter	Passed	Remaining
0	1102	11028130
1	1751	8754687
2	2403	8007611
3	3066	7663924
4	3735	7467694
5	4362	7266468
6	4995	7131127
7	5651	7058376
8	6282	6974116
9	6919	6912688
10	7521	6830564
11	8121	6760188
12	8786	6749736
13	9391	6698714
14	10005	6660377
15	10624	6629515
16	11314	6644003
17	11999	6654301
18	12704	6673805
19	13405	6689167
20	14087	6694223
21	14762	6695481
22	15471	6711475
23	16145	6711078
24	16821	6711598
25	17485	6707635
26	18175	6713370
27	18868	6719927
28	19566	6727649
29	20225	6721568
30	20933	6731929
31	21638	6740395
32	22389	6762405
33	23101	6771364
34	23841	6788148
35	24510	6783906
36	25201	6786137
37	25877	6783860
38	26586	6790360
39	27251	6785688
40	28000	6801424
41	28737	6813598
42	29432	6815241
43	30109	6813011
44	30872	6829695
45	31588	6835412
46	32298	6839723
47	32958	6833312
48	33664	6836654
49	34279	6821715
50	35025	6832734
51	35742	6837843
52	36397	6831019
53	37031	6820700
54	37719	6820459
55	38308	6802471
56	38949	6794277
57	39535	6776933
58	40282	6787229
59	40942	6782874
60	41666	6788945
61	42232	6769509
62	42852	6759091
63	43417	6740554
64	44047	6732549
65	44699	6727995
66	45250	6708573
67	46255	6756000
68	47055	6772580
69	47661	6761077
70	48416	6770768
71	48976	6753278
72	49598	6744740
73	50180	6730995
74	50827	6726134
75	51591	6736822
76	52330	6743862
77	53092	6753639
78	53848	6762362
79	54590	6769229
80	55339	6776687
81	56057	6780272
82	56610	6763917
83	57396	6775568
84	58099	6777093
85	58782	6776419
86	59577	6788393
87	60352	6797911
88	60949	6787285
89	61726	6796770
90	62531	6809031
91	63176	6803848
92	63808	6797282
93	64552	6802756
94	65275	6805827
95	65869	6795569
96	66638	6803272
97	67417	6811908
98	68128	6813532
99	68895	6820629
100	69616	6823063
101	70327	6824517
102	70980	6820309
103	71701	6822683
104	72473	6829756
105	73245	6836718
106	74042	6845808
107	74837	6854572
108	75571	6857584
109	76346	6864221
110	77090	6868019
111	77811	6869680
